Job_ID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,District Cooling [kWh],c1: Interior Lighting[kWh],c2: Total Energy [kWh],c4: Annual Total Peak Values[kWh],c5: Annual and Peak Values-Cooling[kWh],c7: Not Comfortable[Hours]
case_72,0.74253745,0.830894624,0.61497146,3.656385932,0.367590134,0.329060733,0.24240941,0.336939047,0.245208814,0.246837218,0.213523881,0.203633514,487090.2432,107935.2554,1069398.81,582462.7954,487090.6234,3248.17
case_73,0.936049817,1.050236483,0.626427073,3.428294015,0.324919176,0.643903147,0.373567006,0.219859441,0.244906034,0.290722777,0.33141516,0.27295041,494848.9392,75976.58336,1045196.38,550504.0917,494849.3405,3299.5
case_74,0.882276861,1.018112574,0.993002146,3.678234201,0.244057691,0.680252861,0.320144229,0.246062894,0.27118507,0.268423541,0.281207837,0.237254312,469467.1978,76589.58788,1020435.67,551117.0962,469467.5779,3300
case_75,0.686414791,0.864483723,0.828063784,3.947359636,0.297497105,0.693275938,0.207524896,0.315732073,0.249703059,0.229811942,0.283414834,0.399506296,474271.0579,72559.64372,1021208.05,547087.1521,474271.4381,3286.67
case_76,0.773954222,1.070380468,1.270298691,3.666605609,0.323768133,0.432375801,0.202769539,0.253433234,0.233674485,0.280119264,0.362973715,0.380096328,471431.0304,82624.87644,1028434.15,557152.3848,471431.4106,3304.67
case_77,0.682200885,1.477243828,1.116173642,3.851707997,0.294318377,0.57521339,0.293179643,0.310914746,0.294193688,0.265150205,0.238160392,0.310464451,481827.6355,79624.30229,1035826.91,554151.8106,481828.0262,3300.5
case_78,0.748488357,1.260798585,1.064727044,3.888053942,0.223374229,0.320174377,0.214208401,0.366789111,0.219586,0.229000822,0.344874049,0.227929567,473610.1709,99927.27422,1047915.01,574454.7826,473610.551,3291.17
case_79,0.552784432,0.737956253,1.420126074,3.226589164,0.216064575,0.705380147,0.362099039,0.324997606,0.229353159,0.241061004,0.348196405,0.301394189,464755.6742,73617.32671,1012753.37,548144.8351,464756.0438,3289.17
case_80,0.508881276,1.086007129,1.181646153,3.294933849,0.300239705,0.718694898,0.224269725,0.398868226,0.202196396,0.203817317,0.22640234,0.337892865,466232.2579,76631.04391,1017243.21,551158.5523,466232.6275,3281.67
case_81,0.685817461,1.439548505,0.561356194,3.589048858,0.345086742,0.669799325,0.204999103,0.205760631,0.267307037,0.259176973,0.31635293,0.277326239,482340.0067,75158.73728,1031873.54,549686.214,482340.3974,3289.33
case_82,0.997856985,1.19349043,1.268901549,3.084349876,0.221943433,0.435628619,0.254191013,0.224574295,0.217545483,0.29742086,0.394380914,0.273534751,468323.4653,84668.69989,1027371.4,559196.2082,468323.8454,3314.17
case_83,0.702691729,0.681048963,1.043443586,3.019492373,0.397012145,0.793004279,0.295603015,0.247264446,0.259216687,0.283513744,0.201738558,0.273073205,470608.8077,74841.08718,1019828.41,549368.5955,470609.1773,3267.17
case_84,0.896363629,1.461119399,1.103914563,3.434193817,0.366614229,0.526155514,0.301119266,0.371672798,0.248846973,0.260303626,0.329113616,0.326310191,497390.9213,80198.32104,1051959.3,554725.8294,497391.3226,3312.33
case_85,0.746426861,0.973640857,1.267463271,3.440906984,0.383592755,0.634617743,0.335702702,0.259139767,0.229096461,0.289408438,0.204832515,0.287742235,473690.3741,80219.06489,1028286.98,554746.5732,473690.7542,3294.5
case_86,0.949969867,0.549651876,0.550154852,3.242272143,0.246043547,0.320869716,0.361219605,0.283015045,0.27388246,0.200246928,0.254684513,0.21038203,481371.0211,107184.7398,1062930.88,581712.2798,481371.4118,3252.33
case_87,0.772861414,1.281615468,0.649712738,3.401839841,0.273195682,0.224236484,0.231063212,0.324461983,0.270530857,0.222220108,0.279948066,0.28799722,491712.4714,119337.8172,1085422.14,593865.3572,491712.8621,3268.5
case_88,0.596758021,1.136361236,1.358915888,3.032959491,0.310027249,0.276266953,0.287785316,0.2202379,0.296186763,0.217519295,0.2176229,0.237627028,469025.2723,114757.6385,1058161.91,589285.1785,469025.6419,3273.17
case_89,0.549993771,1.479183462,1.030880708,3.487572245,0.220110003,0.357606062,0.213824693,0.302280036,0.233787038,0.206129544,0.211316918,0.306148244,467581.0762,100489.8601,1042450.39,575017.3684,467581.4458,3280.67
case_90,0.803210591,0.600705844,0.87321171,3.265959174,0.380750178,0.587671647,0.260280278,0.283256496,0.295104912,0.229917301,0.340639825,0.235533411,476342.328,79216.42436,1029935.47,553743.9327,476342.7082,3269.33
case_91,0.914194017,1.144452635,0.547847124,3.804796653,0.232980166,0.588235246,0.200845766,0.382366807,0.24759019,0.246669907,0.299876364,0.219629675,478156.536,80779.33886,1033312.01,555306.8472,478156.9162,3289.33
