#,case,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Cooling,Lighting,Equipment,fadian
6302,6303,310,0.129425234,0.178113544,0.665033781,0.693158573,0.577973936,0.701100704,0.414219417,0.318532474,0.448160666,0.402157071,0.680231625,0.831273065,0.628151946,0.627779684,0.896002313,0.562269673,0.674323998,0.499402945,0.294357948,1.179400675,0.560787821,11.75247039,0.801833168,6.521558985,0.828574146,14.3443248,0.866079597,24.05914127,24.54465958,18,60513.62483,10163.40852,55983.50853,60025.11408
6303,6304,10,0.113773826,0.112588927,0.333102518,0.550381258,0.612983893,0.77408796,0.473206471,0.56502998,0.355383731,0.572663638,0.655147554,0.752842299,0.642014865,0.768572373,1.04534158,0.494117216,1.156299345,0.395148842,0.167555807,2.375939023,0.647898208,12.78604874,0.766710408,5.7018989,0.920507704,14.00540222,0.811527588,24.61117716,25.26997382,19,55783.75295,10269.22899,55873.97988,38937.79641
6304,6305,260,0.19047571,0.195824477,0.661967072,0.680785505,0.545766561,0.688347111,0.571486935,0.307285011,0.442459305,0.391425063,0.647581824,0.756718352,0.957064975,0.638175508,1.171335333,0.482943546,1.030275519,0.361308046,0.226735596,1.975605733,0.574520917,11.92373886,0.776269426,7.80146362,0.890290844,12.45391599,0.908238606,24.10570004,25.0147715,17,51129.26002,10939.32066,46337.7966,77777.19198
6305,6306,360,0.126333554,0.160834332,0.554884544,0.549251981,0.471930314,0.82393945,0.334990972,0.463315323,0.640598939,0.431288005,0.766219215,0.77729705,0.903507474,0.827350444,0.599868925,0.508722257,0.583459273,0.408659599,0.220065348,2.939196945,0.547112925,14.88396054,0.873934752,6.76372214,0.803885659,13.07890616,0.786062178,24.84050929,22.4387871,18,46188.66171,9079.09614,46328.74197,53930.27226
6306,6307,110,0.146662405,0.13419164,0.46266158,0.502879498,0.630615931,0.521209896,0.646371871,0.463733237,0.537342937,0.591843775,0.90366432,0.695159299,0.765628206,0.603732278,0.518366472,0.74377202,1.105398349,0.272306077,0.412027186,2.082656179,0.567513068,13.1631841,0.897437373,5.144207161,0.783195308,12.1946514,0.811972169,24.55312234,23.00679585,19,60094.68987,7553.94525,48676.71642,50451.6201
6307,6308,60,0.148133292,0.14072787,0.729894505,0.733807038,0.602023837,0.709727857,0.365679185,0.450054082,0.568633925,0.408420004,0.795919258,0.717386812,0.594023288,0.785153807,0.478532524,0.486501813,1.128283018,0.155139794,0.22878635,2.271546031,0.600162707,11.55504005,0.7738409,6.037437168,0.818608154,12.90810424,0.838184199,25.4024678,25.08633598,19,53600.57778,9845.03478,53187.88089,56309.36403
6308,6309,320,0.186779529,0.17880638,0.670407962,0.51450174,0.694351967,0.662384386,0.272555427,0.516259705,0.614900652,0.402598385,0.593451898,0.720180103,0.71217408,0.748430671,0.750645155,0.751779192,0.969924907,0.166834721,0.36406587,1.830159606,0.61526988,12.11468755,0.811595274,7.532964673,0.817987261,14.43386635,0.750234925,24.28099232,25.27926949,17,51408.71313,8680.05477,44361.83043,67716.35682
6309,6310,160,0.187125866,0.153589349,0.723770497,0.429674191,0.680846497,0.742470127,0.297604564,0.386683102,0.620963004,0.417701253,0.794397865,0.767310719,0.797224714,0.921461713,1.109346154,0.478901744,0.869036818,0.328232464,0.480717773,1.657968444,0.513620507,14.72054296,0.887953776,7.079079768,0.776897617,12.44766667,0.833685145,23.7649352,22.47692336,18,55497.48407,9972.29664,46764.05745,67991.17089
6310,6311,130,0.141415572,0.18621716,0.751546215,0.782075892,0.594559888,0.634309594,0.550860819,0.53045327,0.497015925,0.389184033,0.809609586,0.702593516,0.526895683,0.903338727,0.666303222,0.62360887,0.726386918,0.230807045,0.272695079,1.623086258,0.647718644,13.76931406,0.912978406,6.119398126,0.858979256,11.13221258,0.912758601,25.28691882,26.14921376,18,49658.98954,8538.81039,45788.83554,64527.09639
6311,6312,350,0.164512815,0.204938534,0.516012897,0.778354579,0.44876755,0.672147741,0.407704223,0.439450219,0.428130315,0.470181876,0.774298428,0.698157375,0.685930731,0.782860525,0.916131098,0.42041207,0.871417076,0.496759374,0.163622719,1.173928435,0.584723089,13.15542596,0.806409088,6.237242225,0.81981058,13.88532081,0.834378831,23.51674231,24.48405131,19,59658.76508,11014.91325,56954.74758,67248.01434
